"ReturnCode","LL","tvE0","tvAlpha","tvBeta","tvGam","dE0dTRT1","dE0dTRT2","dE0dTRT5","dE0dTRT6","dE0dTRT7","dE0dTRT17","dAlphadTRT1","dAlphadTRT2","dAlphadTRT5","dAlphadTRT6","dAlphadTRT7","dAlphadTRT17","dBetadTRT1","dBetadTRT2","dBetadTRT5","dBetadTRT6","dBetadTRT7","dBetadTRT17","dGamdTRT1","dGamdTRT2","dGamdTRT5","dGamdTRT6","dGamdTRT7","dGamdTRT17","dE0dBLMEANTTP","dAlphadBLMEANTTP","dGamdBLMEANTTP","dBetadBLMEANTTP","EEps","omega(nE0,nE0)","omega(nAlpha,nE0)","omega(nAlpha,nAlpha)","omega(nBeta,nE0)","omega(nBeta,nAlpha)","omega(nBeta,nBeta)","omega(nGam,nE0)","omega(nGam,nAlpha)","omega(nGam,nBeta)","omega(nGam,nGam)"
3,-16631.8,2.85822,21.5475,1.67417,0.0514403,-0.15808,-0.139559,-0.231324,-0.285463,-0.040664,0.377925,-0.0133382,-0.213334,-0.154709,0.175733,0.00979725,0.0455513,-0.0126068,-0.105918,-0.0397755,0.022318,0.0179489,0.232285,-0.103336,0.0245237,0.519664,0.0340843,0.0284692,0.0539459,0.756002,0.153216,-0.631883,-0.404388,0.268011,0.36028,-0.0588494,0.102627,0.111654,0.0343062,0.0642853,0.137589,-0.130533,-0.0184735,0.496871
3,-16078,3.32948,20.329,1.76036,0.055294,-0.152823,-0.139798,-0.217145,-0.280985,-0.0410108,0.446156,-0.0132856,-0.244707,-0.146004,0.207795,0.00980525,0.0463598,-0.0125472,-0.102047,-0.0397861,0.0224843,0.0182023,0.207968,-0.0997456,0.0246862,0.639218,0.0343681,0.0288741,0.0546971,0.820471,0.157021,-0.679804,-0.379226,0.255843,0.306912,-0.0819839,0.196043,0.142658,0.0402318,0.101553,0.166506,-0.213997,0.00136164,0.508051
3,-16948.5,3.08746,21.9419,1.74565,0.048857,-0.151919,-0.130246,-0.220816,-0.313292,-0.0389439,0.398121,-0.0127729,-0.26511,-0.159218,0.227753,0.0102058,0.0464172,-0.011968,-0.0998826,-0.0377468,0.0240284,0.0186585,0.211617,-0.0974052,0.0253207,0.601186,0.0358211,0.0287452,0.054593,0.857299,0.135374,-0.641242,-0.392666,0.267165,0.211581,-0.0594576,0.106513,0.0934155,0.0138761,0.0591744,0.158407,-0.115678,0.038061,0.410926
3,-16674.1,3.17105,21.8027,1.8072,0.0502266,-0.161583,-0.128176,-0.206337,-0.261417,-0.0413631,0.400669,-0.013336,-0.217764,-0.141649,0.213431,0.00969989,0.0463821,-0.0125093,-0.107897,-0.0401511,0.0223668,0.0185152,0.2175,-0.105151,0.0246933,0.567611,0.0347734,0.0285291,0.0545563,0.848006,0.150707,-0.682289,-0.349029,0.269922,0.286111,-0.111448,0.130266,0.0943071,-0.00240812,0.0446543,0.189423,-0.162772,0.0270772,0.521429
3,-16654.8,2.70714,22.475,1.72175,0.0487606,-0.147641,-0.126476,-0.205673,-0.261356,-0.0403259,0.421118,-0.0131512,-0.242891,-0.141249,0.202219,0.00986316,0.0466365,-0.0125762,-0.109174,-0.040024,0.0226761,0.0181232,0.214281,-0.0993349,0.0243603,0.593414,0.0348383,0.029076,0.0541811,0.874222,0.152363,-0.653736,-0.37705,0.257583,0.379495,-0.0969343,0.109783,0.12269,0.0102451,0.060004,0.197338,-0.122199,0.0287386,0.438986
3,-16618.4,2.66393,20.9222,1.63578,0.0532105,-0.152464,-0.131138,-0.214163,-0.224236,-0.0413021,0.424379,-0.0132086,-0.262096,-0.16085,0.20871,0.00994777,0.0453262,-0.0123984,-0.10528,-0.0398674,0.0215081,0.0188045,0.205097,-0.101842,0.0246598,0.588109,0.034898,0.0288833,0.0530703,0.82689,0.155582,-0.562979,-0.405493,0.273683,0.444285,-0.114039,0.11764,0.137106,0.00806707,0.0634923,0.201993,-0.137268,0.0201311,0.478398
3,-16932.4,2.9102,21.2585,1.69066,0.0522686,-0.157849,-0.131247,-0.230401,-0.283858,-0.041029,0.335736,-0.0131974,-0.292488,-0.149395,0.183959,0.00989977,0.0435346,-0.0124595,-0.115174,-0.0385451,0.0232215,0.0183289,0.22123,-0.0909673,0.024264,0.648035,0.0340605,0.0292238,0.053768,0.809212,0.152719,-0.633227,-0.389766,0.269048,0.357525,-0.108404,0.120599,0.114641,0.0124406,0.0621551,0.218633,-0.111673,0.0456081,0.379248
3,-17076.9,2.65476,22.0106,1.70636,0.050361,-0.14951,-0.120887,-0.20322,-0.258784,-0.0412233,0.374495,-0.0132125,-0.230032,-0.146878,0.226895,0.00972779,0.04384,-0.0127621,-0.113298,-0.0404125,0.0224317,0.01763,0.205532,-0.0910242,0.0240488,0.481082,0.034826,0.028006,0.0528946,0.993677,0.152791,-0.642415,-0.347607,0.2706,0.315239,-0.098483,0.103987,0.100808,0.0037012,0.0491535,0.236237,-0.140446,0.0434127,0.511337
3,-16710.8,2.9399,20.9742,1.72159,0.055068,-0.154784,-0.138469,-0.223698,-0.335812,-0.0413481,0.336087,-0.0134191,-0.271988,-0.145634,0.192398,0.00959841,0.0432226,-0.0127278,-0.102322,-0.0397883,0.0227545,0.017729,0.217725,-0.0999176,0.0240754,0.472439,0.0341397,0.028144,0.052331,0.962315,0.149895,-0.677302,-0.342597,0.265872,0.270333,-0.0471239,0.157756,0.115289,0.0536606,0.0855464,0.118954,-0.143899,-0.00989813,0.442768
3,-16530.9,2.85394,22.2981,1.73044,0.0492338,-0.152293,-0.132756,-0.19888,-0.275614,-0.0391762,0.396991,-0.0130347,-0.271158,-0.146724,0.201652,0.0100093,0.046305,-0.0121985,-0.101068,-0.0389279,0.0228561,0.0178023,0.209092,-0.100795,0.0237743,0.556144,0.0344673,0.0284547,0.0548615,0.900971,0.165685,-0.619888,-0.326812,0.26022,0.333174,-0.099891,0.131768,0.112817,0.017989,0.064568,0.201491,-0.125141,0.0352578,0.458038
