agemonths,haz,waz,hcaz
8,-0.801233905,-0.182537151,-2.211430009
9,-0.993454901,0.120299067,-2.218435503
10.1,-1.246019071,0.518059111,-2.465833926
11,-1.093074917,0.035391824,-2.240432365
12,-0.926388415,-0.595562479,-2.222042553
13,-1.428214507,-0.693695698,-2.282477281
14,-1.417455658,-0.787794545,-2.44305354
14.9,-2.211592564,-0.886961612,-2.215887847
16,-1.719002595,-1.112594562,-1.990145401
17,-1.983107095,-1.433814477,-1.964841054
18,-1.876920454,-1.163502716,-2.089700141
19.1,-2.074632546,-1.108796482,-2.213200598
20,-2.018361867,-1.006994211,-2.307776088
21,-1.98475905,-1.299104392,-3.150726193
22,-2.064636568,-1.209376484,-2.284681032
23.1,-2.166604681,-1.41232864,-2.30677812
24,-1.850216535,-1.506368268,-2.392281717
0.2628121,-0.782909437,-0.12312104,0.3596445
1,-0.701358673,0.178353428,0.305331423
2,-0.269153378,-0.207093222,-0.626581079
3,-1.370465982,-0.6762109,-0.254524119
3.9,-2.047953884,-1.687186214,-1.234203083
5.1,-0.715601579,-0.88480165,-0.999730563
6,-0.091693687,-0.739315534,-1.033834508
7.1,-0.579019668,-0.944636413,-0.986901119
8,-1.36993021,-0.413355417,-1.235371258
8.9,-1.509468864,-0.46996854,-1.172330851
10,-1.762124565,-0.87317409,-1.806802865
11,-0.217282121,-0.536592506,-1.44875211
11.9,-1.669305908,-1.609306618,-1.280582617
12.9,-1.632035337,-0.399427365,-1.257810485
14,-2.00948413,-0.810330853,-1.22351222
14.9,-2.19918645,-1.027351582,-1.139150994
16,-2.043295556,-1.326476615,-0.839145671
17,-2.005708995,-1.454763211,-0.9130239
18,-2.10999742,-1.141033737,-0.962936518
19,-2.215660136,-1.115081615,-0.922361688
20.1,-2.01130633,-1.208870118,-1.048224618
21,-2.063654344,-1.393523953,-1.145502222
22.1,-2.056283714,-1.223835722,-1.183694601
23,-2.258382132,-1.399057285,-1.271854031
24.1,-1.531598282,-1.614270948,-1.073529177
0.2956636,-0.247553041,-0.41291746,-1.418430444
1,-0.067903787,-0.71146681,-1.719602541
2,-0.187051067,-0.862514035,-1.743009834
2.9,-0.05361517,-0.933621432,-1.972638013
4,-0.404185544,-0.754169132,-2.148186761
5,-0.613880994,-1.051873832,-2.199541255
5.9,-0.261290037,-0.739285206,-2.412434929
7,-0.618702449,-0.806312445,-2.465163019
7.9,-0.818523667,-0.93202349,-2.580704791
9,-0.616824448,-0.91699151,-3.021841264
9.9,-1.168501759,-1.063452182,-2.974677302
11,-0.927601442,-1.241473107,-2.938642728
12.1,-1.0027287,-2.015534665,-2.952961164
12.9,-1.490980074,-1.553428035,-2.898097189
14,-1.729428161,-2.039014705,-3.228219649
15,-1.724894496,-2.497578735,-2.957809395
16,-1.981423778,-1.958955492,-2.81429829
17.1,-2.193362889,-2.164233196,-2.882869382
18,-1.873926109,-2.473089913,-2.930962132
19,-2.098836255,-2.130707679,-2.899821789
20.1,-2.311937012,-2.062062737,-2.879030412
21.1,-2.450064793,-2.122555065,-2.842374128
22.1,-2.560894859,-2.558915453,-2.952587152
23.1,-2.707947671,-2.127619233,-2.908196956
24,-2.573618658,-2.377907998,-2.923440995
0.131406,-0.599088881,-1.609456125,-0.906392301
0.9,-0.914782565,-1.455967209,-1.518694087
1.9,0.058766349,-1.091766159,-1.374486638
3,-0.60703531,-1.194080432,-1.306247408
4,-0.511349949,-0.955419797,-2.045440445
5,-0.839622332,-1.257575385,-2.043959203
6,-0.617059371,-1.058442762,-2.291799303
7.1,-1.048124462,-1.184416266,-2.1888786
8,-0.83785707,-1.32857348,-2.065042924
8.9,-1.207531768,-1.396837882,-2.084960334
10,-1.056537016,-1.304307271,-2.480740338
11,-1.880127312,-1.492187348,-2.199473111
11.9,-1.487499032,-1.975116195,-1.969000511
13,-1.798344292,-1.674781959,-2.110019876
14,-1.915817074,-2.240761167,-2.058998479
14.9,-2.053950724,-1.937847923,-1.99484458
16,-2.160220366,-2.172871135,-2.08738996
17,-2.255888603,-1.802215045,-2.068412458
18.1,-2.537538151,-1.991187694,-2.211010229
19.1,-2.769538659,-1.610925196,-2.18925004
20,-2.700869827,-1.224998133,-2.154253103
21.1,-2.784125274,-1.526422065,-2.269792436
22,-2.535798844,-1.954594536,-2.151269087
22.9,-2.353181029,-1.819870912,-2.17464673
24,-2.240527911,-1.754124083,-1.92403393
0.4270696,-1.13594922,-2.519266505,-2.095934323
1.1,-0.872651261,-2.528042647,-1.82502595
2,-1.415682139,-2.046168833,-1.691596262
3,-1.621467265,-2.019480006,-1.997655529
4,-2.370518637,-2.122692592,-3.021455485
4.9,-1.929156637,-2.204639357,-3.312540995
5.9,-2.121230582,-2.16314071,-2.698960341
7,-1.895175593,-2.291690541,-2.805538025
8,-1.647130883,-2.688673279,-3.458373415
8.9,-2.562122177,-2.821338375,-3.152850344
10,-2.261106962,-2.691159153,-3.710828942
11,-2.681347456,-2.310093375,-3.337416001
12,-2.261685543,-2.596591723,-3.092028836
13,-2.650197923,-2.886870392,-2.972654528
13.9,-2.818901193,-3.01607141,-2.900211683
14.9,-2.991015514,-3.223093154,-2.517063626
16.2,-2.869614954,-3.416691404,-2.701701582
17.1,-3.15114395,-3.232300008,-2.659138508
18.1,-3.231244629,-3.214944162,-2.700567384
19.1,-3.224471156,-3.391553607,-2.734800024
20.1,-3.111059328,-2.990692424,-2.691795398
21.1,-3.201851601,-3.139550743,-2.717477351
22,-3.33341423,-3.428016208,-2.510020265
23.1,-3.282294388,-3.42267639,-2.607717571
24,-3.372525686,-3.342791342,-2.534244752
0.4270696,0.224970498,-0.509571434,-0.650286435
1,-0.238754931,-0.538012135,-1.493254798
2,0.226591294,-0.752586463,-1.011305913
3.1,0.450087194,-1.328390215,-1.76018685
4,0.657945949,-1.578199975,-1.681080966
5,-0.611608613,-1.846943985,-2.11429382
5.9,-1.3264295,-2.021862951,-2.698960341
6.9,-1.089796854,-2.196304541,-2.385135516
8,-0.735367514,-2.009217071,-3.644441573
9,-1.038058453,-2.035325028,-3.173834084
9.9,-1.525477501,-2.013041678,-3.45622543
11,-1.248072971,-2.19231126,-3.251364961
11.9,-1.542868882,-2.306708633,-2.370771528
12.9,-1.590768135,-2.315485335,-2.186597994
14,-1.632964331,-2.485745155,-1.987012666
14.9,-1.882454824,-2.656274579,-1.904658012
15.9,-2.031404706,-2.652162408,-1.672418792
17,-1.895966054,-2.544023831,-1.657549439
18,-2.237062268,-2.600890586,-1.708722977
19,-2.288305921,-2.572438942,-1.823105524
20,-2.373938893,-2.706315074,-1.934119781
21,-2.141779489,-2.497607884,-2.041454999
22,-2.311782449,-2.295576075,-2.139767099
23,-2.083166781,-2.390256408,-1.932668985
23.9,-1.858450102,-2.423706737,-2.017050599
0.4270696,-1.759333594,-2.008313293,-2.029642019
1,-1.614320684,-1.736511098,-1.434923566
2,-2.248649569,-2.04537997,-2.028030316
3,-1.187134496,-2.198726317,-2.002159349
4,-2.174126407,-2.665575089,-2.519379146
5,-2.559566088,-2.805568834,-2.627140889
5.9,-2.625571154,-2.272160787,-2.890183533
8,-2.627346026,-2.539101841,-3.228921275
10,-3.202982196,-2.891657609,-3.297848486
10.9,-3.214831876,-3.399139973,-3.670587276
11.9,-3.743348002,-3.465475712,-2.852422561
13,-3.851552567,-3.678389819,-2.916518318
