"pandemicday","class","severity","Ntype","Cum N","N"
159,"azithromycin","all","RCT",0,NA
169,"azithromycin","all","RCT",0,NA
179,"azithromycin","all","RCT",0,NA
187,"azithromycin","all","RCT",0,NA
215,"azithromycin","all","RCT",0,NA
220,"azithromycin","all","RCT",0,NA
227,"azithromycin","all","RCT",0,NA
236,"azithromycin","all","RCT",0,NA
242,"azithromycin","all","RCT",0,NA
263,"azithromycin","all","RCT",0,NA
269,"azithromycin","all","RCT",0,NA
278,"azithromycin","all","RCT",111,111
283,"azithromycin","all","RCT",111,NA
290,"azithromycin","all","RCT",555,444
297,"azithromycin","all","RCT",555,NA
318,"azithromycin","all","RCT",555,NA
325,"azithromycin","all","RCT",555,NA
332,"azithromycin","all","RCT",555,NA
339,"azithromycin","all","RCT",555,NA
346,"azithromycin","all","RCT",555,NA
353,"azithromycin","all","RCT",555,NA
360,"azithromycin","all","RCT",555,NA
367,"azithromycin","all","RCT",555,NA
374,"azithromycin","all","RCT",555,NA
381,"azithromycin","all","RCT",8319,7764
408,"azithromycin","all","RCT",8319,NA
422,"azithromycin","all","RCT",8319,NA
425,"azithromycin","all","RCT",8319,NA
429,"azithromycin","all","RCT",8319,NA
437,"azithromycin","all","RCT",8319,NA
444,"azithromycin","all","RCT",8319,NA
450,"azithromycin","all","RCT",8319,NA
457,"azithromycin","all","RCT",8319,NA
471,"azithromycin","all","RCT",8319,NA
478,"azithromycin","all","RCT",8319,NA
492,"azithromycin","all","RCT",8319,NA
499,"azithromycin","all","RCT",8319,NA
513,"azithromycin","all","RCT",8319,NA
520,"azithromycin","all","RCT",8611,292
527,"azithromycin","all","RCT",8611,NA
536,"azithromycin","all","RCT",8615,4
562,"azithromycin","all","RCT",8615,NA
563,"azithromycin","all","RCT",8615,NA
577,"azithromycin","all","RCT",8615,NA
583,"azithromycin","all","RCT",8615,NA
598,"azithromycin","all","RCT",8615,NA
618,"azithromycin","all","RCT",8615,NA
625,"azithromycin","all","RCT",8821,206
639,"azithromycin","all","RCT",8821,NA
682,"azithromycin","all","RCT",8821,NA
688,"azithromycin","all","RCT",8821,NA
730,"azithromycin","all","RCT",8821,NA
737,"azithromycin","all","RCT",8821,NA
758,"azithromycin","all","RCT",8821,NA
789,"azithromycin","all","RCT",8821,NA
793,"azithromycin","all","RCT",8821,NA
808,"azithromycin","all","RCT",8821,NA
159,"azithromycin","all","RWS",0,NA
169,"azithromycin","all","RWS",432,432
177,"azithromycin","all","RWS",432,NA
179,"azithromycin","all","RWS",432,NA
186,"azithromycin","all","RWS",432,NA
188,"azithromycin","all","RWS",432,NA
194,"azithromycin","all","RWS",432,NA
205,"azithromycin","all","RWS",432,NA
215,"azithromycin","all","RWS",731,299
220,"azithromycin","all","RWS",1287,556
227,"azithromycin","all","RWS",1287,NA
228,"azithromycin","all","RWS",1287,NA
236,"azithromycin","all","RWS",2313,1026
242,"azithromycin","all","RWS",2313,NA
249,"azithromycin","all","RWS",2313,NA
256,"azithromycin","all","RWS",2313,NA
263,"azithromycin","all","RWS",2313,NA
269,"azithromycin","all","RWS",2313,NA
278,"azithromycin","all","RWS",2313,NA
290,"azithromycin","all","RWS",2313,NA
297,"azithromycin","all","RWS",2313,NA
304,"azithromycin","all","RWS",2313,NA
311,"azithromycin","all","RWS",2313,NA
318,"azithromycin","all","RWS",6543,4230
325,"azithromycin","all","RWS",6543,NA
332,"azithromycin","all","RWS",6543,NA
339,"azithromycin","all","RWS",6543,NA
346,"azithromycin","all","RWS",6543,NA
353,"azithromycin","all","RWS",6543,NA
360,"azithromycin","all","RWS",6543,NA
367,"azithromycin","all","RWS",6543,NA
374,"azithromycin","all","RWS",6543,NA
381,"azithromycin","all","RWS",6543,NA
388,"azithromycin","all","RWS",6543,NA
401,"azithromycin","all","RWS",6543,NA
422,"azithromycin","all","RWS",6543,NA
429,"azithromycin","all","RWS",6543,NA
457,"azithromycin","all","RWS",6543,NA
499,"azithromycin","all","RWS",6543,NA
527,"azithromycin","all","RWS",6543,NA
536,"azithromycin","all","RWS",6543,NA
569,"azithromycin","all","RWS",6543,NA
577,"azithromycin","all","RWS",6543,NA
604,"azithromycin","all","RWS",6543,NA
611,"azithromycin","all","RWS",6543,NA
625,"azithromycin","all","RWS",6543,NA
639,"azithromycin","all","RWS",6543,NA
646,"azithromycin","all","RWS",6543,NA
653,"azithromycin","all","RWS",6543,NA
660,"azithromycin","all","RWS",6543,NA
667,"azithromycin","all","RWS",6543,NA
674,"azithromycin","all","RWS",6543,NA
682,"azithromycin","all","RWS",6543,NA
688,"azithromycin","all","RWS",6543,NA
702,"azithromycin","all","RWS",6543,NA
709,"azithromycin","all","RWS",6543,NA
751,"azithromycin","all","RWS",6543,NA
793,"azithromycin","all","RWS",6543,NA
159,"convalescentplasma","all","RCT",0,NA
169,"convalescentplasma","all","RCT",0,NA
179,"convalescentplasma","all","RCT",0,NA
187,"convalescentplasma","all","RCT",101,101
215,"convalescentplasma","all","RCT",101,NA
220,"convalescentplasma","all","RCT",187,86
227,"convalescentplasma","all","RCT",187,NA
236,"convalescentplasma","all","RCT",187,NA
242,"convalescentplasma","all","RCT",187,NA
263,"convalescentplasma","all","RCT",187,NA
269,"convalescentplasma","all","RCT",187,NA
278,"convalescentplasma","all","RCT",268,81
283,"convalescentplasma","all","RCT",268,NA
290,"convalescentplasma","all","RCT",732,464
297,"convalescentplasma","all","RCT",732,NA
318,"convalescentplasma","all","RCT",732,NA
325,"convalescentplasma","all","RCT",732,NA
332,"convalescentplasma","all","RCT",732,NA
339,"convalescentplasma","all","RCT",761,29
346,"convalescentplasma","all","RCT",801,40
353,"convalescentplasma","all","RCT",801,NA
360,"convalescentplasma","all","RCT",961,160
367,"convalescentplasma","all","RCT",1374,413
374,"convalescentplasma","all","RCT",1374,NA
381,"convalescentplasma","all","RCT",1374,NA
408,"convalescentplasma","all","RCT",1374,NA
422,"convalescentplasma","all","RCT",1374,NA
425,"convalescentplasma","all","RCT",1374,NA
429,"convalescentplasma","all","RCT",1374,NA
437,"convalescentplasma","all","RCT",1374,NA
444,"convalescentplasma","all","RCT",1374,NA
450,"convalescentplasma","all","RCT",1374,NA
457,"convalescentplasma","all","RCT",1374,NA
471,"convalescentplasma","all","RCT",12932,11558
478,"convalescentplasma","all","RCT",13152,220
492,"convalescentplasma","all","RCT",13152,NA
499,"convalescentplasma","all","RCT",13212,60
513,"convalescentplasma","all","RCT",13286,74
520,"convalescentplasma","all","RCT",13286,NA
527,"convalescentplasma","all","RCT",13286,NA
536,"convalescentplasma","all","RCT",13387,101
562,"convalescentplasma","all","RCT",13387,NA
563,"convalescentplasma","all","RCT",15366,1979
577,"convalescentplasma","all","RCT",15366,NA
583,"convalescentplasma","all","RCT",16287,921
598,"convalescentplasma","all","RCT",16447,160
618,"convalescentplasma","all","RCT",16447,NA
625,"convalescentplasma","all","RCT",16583,136
639,"convalescentplasma","all","RCT",17128,545
682,"convalescentplasma","all","RCT",17128,NA
688,"convalescentplasma","all","RCT",17128,NA
730,"convalescentplasma","all","RCT",17207,79
737,"convalescentplasma","all","RCT",17678,471
758,"convalescentplasma","all","RCT",18859,1181
789,"convalescentplasma","all","RCT",18859,NA
793,"convalescentplasma","all","RCT",18966,107
808,"convalescentplasma","all","RCT",18966,NA
159,"convalescentplasma","all","RWS",21,21
169,"convalescentplasma","all","RWS",21,NA
177,"convalescentplasma","all","RWS",216,195
179,"convalescentplasma","all","RWS",216,NA
186,"convalescentplasma","all","RWS",285,69
188,"convalescentplasma","all","RWS",285,NA
194,"convalescentplasma","all","RWS",285,NA
205,"convalescentplasma","all","RWS",285,NA
215,"convalescentplasma","all","RWS",1902,1617
220,"convalescentplasma","all","RWS",1902,NA
227,"convalescentplasma","all","RWS",1902,NA
228,"convalescentplasma","all","RWS",1902,NA
236,"convalescentplasma","all","RWS",1902,NA
242,"convalescentplasma","all","RWS",2091,189
249,"convalescentplasma","all","RWS",2091,NA
256,"convalescentplasma","all","RWS",2091,NA
263,"convalescentplasma","all","RWS",2478,387
269,"convalescentplasma","all","RWS",2719,241
278,"convalescentplasma","all","RWS",2719,NA
290,"convalescentplasma","all","RWS",2719,NA
297,"convalescentplasma","all","RWS",2719,NA
304,"convalescentplasma","all","RWS",2799,80
311,"convalescentplasma","all","RWS",4575,1776
318,"convalescentplasma","all","RWS",8104,3529
325,"convalescentplasma","all","RWS",8104,NA
332,"convalescentplasma","all","RWS",8104,NA
339,"convalescentplasma","all","RWS",8104,NA
346,"convalescentplasma","all","RWS",8104,NA
353,"convalescentplasma","all","RWS",8104,NA
360,"convalescentplasma","all","RWS",8104,NA
367,"convalescentplasma","all","RWS",8104,NA
374,"convalescentplasma","all","RWS",8250,146
381,"convalescentplasma","all","RWS",8618,368
388,"convalescentplasma","all","RWS",8618,NA
401,"convalescentplasma","all","RWS",8618,NA
422,"convalescentplasma","all","RWS",9144,526
429,"convalescentplasma","all","RWS",9144,NA
457,"convalescentplasma","all","RWS",10042,898
499,"convalescentplasma","all","RWS",10042,NA
527,"convalescentplasma","all","RWS",10042,NA
536,"convalescentplasma","all","RWS",10042,NA
569,"convalescentplasma","all","RWS",10670,628
577,"convalescentplasma","all","RWS",10670,NA
604,"convalescentplasma","all","RWS",10670,NA
611,"convalescentplasma","all","RWS",10670,NA
625,"convalescentplasma","all","RWS",10670,NA
639,"convalescentplasma","all","RWS",10893,223
646,"convalescentplasma","all","RWS",10893,NA
653,"convalescentplasma","all","RWS",10893,NA
660,"convalescentplasma","all","RWS",10893,NA
667,"convalescentplasma","all","RWS",10893,NA
674,"convalescentplasma","all","RWS",10893,NA
682,"convalescentplasma","all","RWS",10893,NA
688,"convalescentplasma","all","RWS",10893,NA
702,"convalescentplasma","all","RWS",11016,123
709,"convalescentplasma","all","RWS",11016,NA
751,"convalescentplasma","all","RWS",11016,NA
793,"convalescentplasma","all","RWS",11016,NA
159,"cort","mildmod","RCT",0,NA
169,"cort","mildmod","RCT",0,NA
179,"cort","mildmod","RCT",0,NA
187,"cort","mildmod","RCT",0,NA
215,"cort","mildmod","RCT",1535,1535
220,"cort","mildmod","RCT",1535,NA
227,"cort","mildmod","RCT",1535,NA
236,"cort","mildmod","RCT",1535,NA
242,"cort","mildmod","RCT",1535,NA
263,"cort","mildmod","RCT",1607,72
269,"cort","mildmod","RCT",1607,NA
278,"cort","mildmod","RCT",1607,NA
283,"cort","mildmod","RCT",1607,NA
290,"cort","mildmod","RCT",1607,NA
297,"cort","mildmod","RCT",1607,NA
318,"cort","mildmod","RCT",1607,NA
325,"cort","mildmod","RCT",1607,NA
332,"cort","mildmod","RCT",1607,NA
339,"cort","mildmod","RCT",1607,NA
346,"cort","mildmod","RCT",1607,NA
353,"cort","mildmod","RCT",1607,NA
360,"cort","mildmod","RCT",1607,NA
367,"cort","mildmod","RCT",1607,NA
374,"cort","mildmod","RCT",1607,NA
381,"cort","mildmod","RCT",1607,NA
408,"cort","mildmod","RCT",1607,NA
422,"cort","mildmod","RCT",1607,NA
425,"cort","mildmod","RCT",1607,NA
429,"cort","mildmod","RCT",1652,45
437,"cort","mildmod","RCT",1652,NA
444,"cort","mildmod","RCT",1652,NA
450,"cort","mildmod","RCT",1652,NA
457,"cort","mildmod","RCT",1652,NA
471,"cort","mildmod","RCT",1652,NA
478,"cort","mildmod","RCT",1652,NA
492,"cort","mildmod","RCT",1652,NA
499,"cort","mildmod","RCT",1652,NA
513,"cort","mildmod","RCT",1652,NA
520,"cort","mildmod","RCT",1652,NA
527,"cort","mildmod","RCT",1652,NA
536,"cort","mildmod","RCT",1652,NA
562,"cort","mildmod","RCT",1652,NA
563,"cort","mildmod","RCT",1652,NA
577,"cort","mildmod","RCT",1652,NA
583,"cort","mildmod","RCT",1652,NA
598,"cort","mildmod","RCT",1652,NA
618,"cort","mildmod","RCT",1652,NA
625,"cort","mildmod","RCT",1652,NA
639,"cort","mildmod","RCT",1652,NA
682,"cort","mildmod","RCT",1652,NA
688,"cort","mildmod","RCT",1652,NA
730,"cort","mildmod","RCT",1652,NA
737,"cort","mildmod","RCT",1652,NA
758,"cort","mildmod","RCT",1652,NA
789,"cort","mildmod","RCT",1652,NA
793,"cort","mildmod","RCT",1652,NA
808,"cort","mildmod","RCT",1652,NA
159,"cort","mildmod","RWS",31,31
169,"cort","mildmod","RWS",31,NA
177,"cort","mildmod","RWS",31,NA
179,"cort","mildmod","RWS",31,NA
186,"cort","mildmod","RWS",31,NA
188,"cort","mildmod","RWS",31,NA
194,"cort","mildmod","RWS",31,NA
205,"cort","mildmod","RWS",31,NA
215,"cort","mildmod","RWS",31,NA
220,"cort","mildmod","RWS",31,NA
227,"cort","mildmod","RWS",31,NA
228,"cort","mildmod","RWS",31,NA
236,"cort","mildmod","RWS",31,NA
242,"cort","mildmod","RWS",31,NA
249,"cort","mildmod","RWS",207,176
256,"cort","mildmod","RWS",207,NA
263,"cort","mildmod","RWS",207,NA
269,"cort","mildmod","RWS",207,NA
278,"cort","mildmod","RWS",207,NA
290,"cort","mildmod","RWS",207,NA
297,"cort","mildmod","RWS",207,NA
304,"cort","mildmod","RWS",207,NA
311,"cort","mildmod","RWS",289,82
318,"cort","mildmod","RWS",289,NA
325,"cort","mildmod","RWS",289,NA
332,"cort","mildmod","RWS",289,NA
339,"cort","mildmod","RWS",1477,1188
346,"cort","mildmod","RWS",1860,383
353,"cort","mildmod","RWS",1860,NA
360,"cort","mildmod","RWS",1860,NA
367,"cort","mildmod","RWS",1860,NA
374,"cort","mildmod","RWS",1860,NA
381,"cort","mildmod","RWS",1860,NA
388,"cort","mildmod","RWS",1860,NA
401,"cort","mildmod","RWS",1860,NA
422,"cort","mildmod","RWS",1860,NA
429,"cort","mildmod","RWS",1860,NA
457,"cort","mildmod","RWS",1860,NA
499,"cort","mildmod","RWS",1860,NA
527,"cort","mildmod","RWS",1860,NA
536,"cort","mildmod","RWS",1860,NA
569,"cort","mildmod","RWS",1860,NA
577,"cort","mildmod","RWS",1860,NA
604,"cort","mildmod","RWS",1860,NA
611,"cort","mildmod","RWS",1860,NA
625,"cort","mildmod","RWS",1860,NA
639,"cort","mildmod","RWS",1860,NA
646,"cort","mildmod","RWS",1860,NA
653,"cort","mildmod","RWS",1860,NA
660,"cort","mildmod","RWS",1860,NA
667,"cort","mildmod","RWS",1860,NA
674,"cort","mildmod","RWS",1860,NA
682,"cort","mildmod","RWS",1860,NA
688,"cort","mildmod","RWS",1860,NA
702,"cort","mildmod","RWS",2263,403
709,"cort","mildmod","RWS",2263,NA
751,"cort","mildmod","RWS",2263,NA
793,"cort","mildmod","RWS",2263,NA
159,"cort","moderate","RCT",0,NA
169,"cort","moderate","RCT",0,NA
179,"cort","moderate","RCT",0,NA
187,"cort","moderate","RCT",0,NA
215,"cort","moderate","RCT",3883,3883
220,"cort","moderate","RCT",3883,NA
227,"cort","moderate","RCT",3883,NA
236,"cort","moderate","RCT",3883,NA
242,"cort","moderate","RCT",3883,NA
263,"cort","moderate","RCT",3883,NA
269,"cort","moderate","RCT",3883,NA
278,"cort","moderate","RCT",3883,NA
283,"cort","moderate","RCT",3883,NA
290,"cort","moderate","RCT",3883,NA
297,"cort","moderate","RCT",3922,39
318,"cort","moderate","RCT",3922,NA
325,"cort","moderate","RCT",3922,NA
332,"cort","moderate","RCT",3922,NA
339,"cort","moderate","RCT",3922,NA
346,"cort","moderate","RCT",3922,NA
353,"cort","moderate","RCT",3922,NA
360,"cort","moderate","RCT",3922,NA
367,"cort","moderate","RCT",3922,NA
374,"cort","moderate","RCT",3922,NA
381,"cort","moderate","RCT",3922,NA
408,"cort","moderate","RCT",3922,NA
422,"cort","moderate","RCT",3922,NA
425,"cort","moderate","RCT",3922,NA
429,"cort","moderate","RCT",3922,NA
437,"cort","moderate","RCT",3986,64
444,"cort","moderate","RCT",3986,NA
450,"cort","moderate","RCT",3986,NA
457,"cort","moderate","RCT",3986,NA
471,"cort","moderate","RCT",3986,NA
478,"cort","moderate","RCT",3986,NA
492,"cort","moderate","RCT",3986,NA
499,"cort","moderate","RCT",3986,NA
513,"cort","moderate","RCT",3986,NA
520,"cort","moderate","RCT",3986,NA
527,"cort","moderate","RCT",3986,NA
536,"cort","moderate","RCT",3986,NA
562,"cort","moderate","RCT",3986,NA
563,"cort","moderate","RCT",3986,NA
577,"cort","moderate","RCT",3986,NA
583,"cort","moderate","RCT",3986,NA
598,"cort","moderate","RCT",3986,NA
618,"cort","moderate","RCT",3986,NA
625,"cort","moderate","RCT",3986,NA
639,"cort","moderate","RCT",3986,NA
682,"cort","moderate","RCT",3986,NA
688,"cort","moderate","RCT",3986,NA
730,"cort","moderate","RCT",3986,NA
737,"cort","moderate","RCT",3986,NA
758,"cort","moderate","RCT",3986,NA
789,"cort","moderate","RCT",3986,NA
793,"cort","moderate","RCT",3986,NA
808,"cort","moderate","RCT",3986,NA
159,"cort","moderate","RWS",46,46
169,"cort","moderate","RWS",46,NA
177,"cort","moderate","RWS",1560,1514
179,"cort","moderate","RWS",1560,NA
186,"cort","moderate","RWS",2023,463
188,"cort","moderate","RWS",2023,NA
194,"cort","moderate","RWS",2023,NA
205,"cort","moderate","RWS",2023,NA
215,"cort","moderate","RWS",2023,NA
220,"cort","moderate","RWS",2214,191
227,"cort","moderate","RWS",2214,NA
228,"cort","moderate","RWS",2214,NA
236,"cort","moderate","RWS",3617,1403
242,"cort","moderate","RWS",3617,NA
249,"cort","moderate","RWS",3786,169
256,"cort","moderate","RWS",3786,NA
263,"cort","moderate","RWS",3786,NA
269,"cort","moderate","RWS",3786,NA
278,"cort","moderate","RWS",4669,883
290,"cort","moderate","RWS",4669,NA
297,"cort","moderate","RWS",5869,1200
304,"cort","moderate","RWS",5869,NA
311,"cort","moderate","RWS",5869,NA
318,"cort","moderate","RWS",5869,NA
325,"cort","moderate","RWS",5869,NA
332,"cort","moderate","RWS",5869,NA
339,"cort","moderate","RWS",6562,693
346,"cort","moderate","RWS",6926,364
353,"cort","moderate","RWS",6926,NA
360,"cort","moderate","RWS",6926,NA
367,"cort","moderate","RWS",6926,NA
374,"cort","moderate","RWS",7206,280
381,"cort","moderate","RWS",7206,NA
388,"cort","moderate","RWS",7206,NA
401,"cort","moderate","RWS",7206,NA
422,"cort","moderate","RWS",7206,NA
429,"cort","moderate","RWS",7206,NA
457,"cort","moderate","RWS",7206,NA
499,"cort","moderate","RWS",7206,NA
527,"cort","moderate","RWS",7206,NA
536,"cort","moderate","RWS",7206,NA
569,"cort","moderate","RWS",7206,NA
577,"cort","moderate","RWS",7206,NA
604,"cort","moderate","RWS",7206,NA
611,"cort","moderate","RWS",7482,276
625,"cort","moderate","RWS",7482,NA
639,"cort","moderate","RWS",7482,NA
646,"cort","moderate","RWS",7482,NA
653,"cort","moderate","RWS",7482,NA
660,"cort","moderate","RWS",7482,NA
667,"cort","moderate","RWS",7482,NA
674,"cort","moderate","RWS",7482,NA
682,"cort","moderate","RWS",7482,NA
688,"cort","moderate","RWS",7482,NA
702,"cort","moderate","RWS",7719,237
709,"cort","moderate","RWS",7719,NA
751,"cort","moderate","RWS",7719,NA
793,"cort","moderate","RWS",7719,NA
159,"cort","severecrit","RCT",0,NA
169,"cort","severecrit","RCT",0,NA
179,"cort","severecrit","RCT",0,NA
187,"cort","severecrit","RCT",0,NA
215,"cort","severecrit","RCT",1007,1007
220,"cort","severecrit","RCT",1007,NA
227,"cort","severecrit","RCT",1007,NA
236,"cort","severecrit","RCT",1007,NA
242,"cort","severecrit","RCT",1007,NA
263,"cort","severecrit","RCT",1328,321
269,"cort","severecrit","RCT",1328,NA
278,"cort","severecrit","RCT",1328,NA
283,"cort","severecrit","RCT",2255,927
290,"cort","severecrit","RCT",2255,NA
297,"cort","severecrit","RCT",2278,23
318,"cort","severecrit","RCT",2278,NA
325,"cort","severecrit","RCT",2278,NA
332,"cort","severecrit","RCT",2278,NA
339,"cort","severecrit","RCT",2278,NA
346,"cort","severecrit","RCT",2278,NA
353,"cort","severecrit","RCT",2278,NA
360,"cort","severecrit","RCT",2278,NA
367,"cort","severecrit","RCT",2278,NA
374,"cort","severecrit","RCT",2278,NA
381,"cort","severecrit","RCT",2278,NA
408,"cort","severecrit","RCT",2278,NA
422,"cort","severecrit","RCT",2278,NA
425,"cort","severecrit","RCT",2278,NA
429,"cort","severecrit","RCT",2319,41
437,"cort","severecrit","RCT",2319,NA
444,"cort","severecrit","RCT",2319,NA
450,"cort","severecrit","RCT",2369,50
457,"cort","severecrit","RCT",2369,NA
471,"cort","severecrit","RCT",2369,NA
478,"cort","severecrit","RCT",2369,NA
492,"cort","severecrit","RCT",2369,NA
499,"cort","severecrit","RCT",2369,NA
513,"cort","severecrit","RCT",2369,NA
520,"cort","severecrit","RCT",2369,NA
527,"cort","severecrit","RCT",2369,NA
536,"cort","severecrit","RCT",2369,NA
562,"cort","severecrit","RCT",2369,NA
563,"cort","severecrit","RCT",2369,NA
577,"cort","severecrit","RCT",2399,30
583,"cort","severecrit","RCT",2399,NA
598,"cort","severecrit","RCT",2399,NA
618,"cort","severecrit","RCT",2399,NA
625,"cort","severecrit","RCT",2399,NA
639,"cort","severecrit","RCT",2399,NA
682,"cort","severecrit","RCT",2399,NA
688,"cort","severecrit","RCT",2399,NA
730,"cort","severecrit","RCT",2399,NA
737,"cort","severecrit","RCT",2399,NA
758,"cort","severecrit","RCT",2399,NA
789,"cort","severecrit","RCT",2399,NA
793,"cort","severecrit","RCT",2399,NA
808,"cort","severecrit","RCT",2399,NA
159,"cort","severecrit","RWS",62,62
169,"cort","severecrit","RWS",62,NA
177,"cort","severecrit","RWS",311,249
179,"cort","severecrit","RWS",345,34
186,"cort","severecrit","RWS",345,NA
188,"cort","severecrit","RWS",345,NA
194,"cort","severecrit","RWS",345,NA
205,"cort","severecrit","RWS",518,173
215,"cort","severecrit","RWS",629,111
220,"cort","severecrit","RWS",629,NA
227,"cort","severecrit","RWS",629,NA
228,"cort","severecrit","RWS",629,NA
236,"cort","severecrit","RWS",629,NA
242,"cort","severecrit","RWS",629,NA
249,"cort","severecrit","RWS",765,136
256,"cort","severecrit","RWS",921,156
263,"cort","severecrit","RWS",921,NA
269,"cort","severecrit","RWS",921,NA
278,"cort","severecrit","RWS",921,NA
290,"cort","severecrit","RWS",921,NA
297,"cort","severecrit","RWS",921,NA
304,"cort","severecrit","RWS",1609,688
311,"cort","severecrit","RWS",2060,451
318,"cort","severecrit","RWS",2060,NA
325,"cort","severecrit","RWS",2060,NA
332,"cort","severecrit","RWS",2060,NA
339,"cort","severecrit","RWS",2060,NA
346,"cort","severecrit","RWS",2060,NA
353,"cort","severecrit","RWS",2442,382
360,"cort","severecrit","RWS",2889,447
367,"cort","severecrit","RWS",2889,NA
374,"cort","severecrit","RWS",3260,371
381,"cort","severecrit","RWS",3260,NA
388,"cort","severecrit","RWS",3982,722
401,"cort","severecrit","RWS",3982,NA
422,"cort","severecrit","RWS",3982,NA
429,"cort","severecrit","RWS",3982,NA
457,"cort","severecrit","RWS",3982,NA
499,"cort","severecrit","RWS",3982,NA
527,"cort","severecrit","RWS",3982,NA
536,"cort","severecrit","RWS",3982,NA
569,"cort","severecrit","RWS",3982,NA
577,"cort","severecrit","RWS",3982,NA
604,"cort","severecrit","RWS",3982,NA
611,"cort","severecrit","RWS",3982,NA
625,"cort","severecrit","RWS",3982,NA
639,"cort","severecrit","RWS",3982,NA
646,"cort","severecrit","RWS",3982,NA
653,"cort","severecrit","RWS",3982,NA
660,"cort","severecrit","RWS",3982,NA
667,"cort","severecrit","RWS",3982,NA
674,"cort","severecrit","RWS",3982,NA
682,"cort","severecrit","RWS",3982,NA
688,"cort","severecrit","RWS",5522,1540
702,"cort","severecrit","RWS",5522,NA
709,"cort","severecrit","RWS",5522,NA
751,"cort","severecrit","RWS",5522,NA
793,"cort","severecrit","RWS",5522,NA
159,"hydroxychloroquine","all","RCT",150,150
169,"hydroxychloroquine","all","RCT",180,30
179,"hydroxychloroquine","all","RCT",180,NA
187,"hydroxychloroquine","all","RCT",180,NA
215,"hydroxychloroquine","all","RCT",210,30
220,"hydroxychloroquine","all","RCT",210,NA
227,"hydroxychloroquine","all","RCT",243,33
236,"hydroxychloroquine","all","RCT",5714,5471
242,"hydroxychloroquine","all","RCT",6162,448
263,"hydroxychloroquine","all","RCT",6162,NA
269,"hydroxychloroquine","all","RCT",6356,194
278,"hydroxychloroquine","all","RCT",6356,NA
283,"hydroxychloroquine","all","RCT",6356,NA
290,"hydroxychloroquine","all","RCT",6356,NA
297,"hydroxychloroquine","all","RCT",6356,NA
318,"hydroxychloroquine","all","RCT",6356,NA
325,"hydroxychloroquine","all","RCT",8209,1853
332,"hydroxychloroquine","all","RCT",8507,298
339,"hydroxychloroquine","all","RCT",8507,NA
346,"hydroxychloroquine","all","RCT",8635,128
353,"hydroxychloroquine","all","RCT",9114,479
360,"hydroxychloroquine","all","RCT",9114,NA
367,"hydroxychloroquine","all","RCT",9114,NA
374,"hydroxychloroquine","all","RCT",9418,304
381,"hydroxychloroquine","all","RCT",9418,NA
408,"hydroxychloroquine","all","RCT",9711,293
422,"hydroxychloroquine","all","RCT",9711,NA
425,"hydroxychloroquine","all","RCT",10211,500
429,"hydroxychloroquine","all","RCT",10211,NA
437,"hydroxychloroquine","all","RCT",10425,214
444,"hydroxychloroquine","all","RCT",10425,NA
450,"hydroxychloroquine","all","RCT",10425,NA
457,"hydroxychloroquine","all","RCT",10495,70
471,"hydroxychloroquine","all","RCT",10649,154
478,"hydroxychloroquine","all","RCT",10649,NA
492,"hydroxychloroquine","all","RCT",10649,NA
499,"hydroxychloroquine","all","RCT",10649,NA
513,"hydroxychloroquine","all","RCT",11090,441
520,"hydroxychloroquine","all","RCT",11090,NA
527,"hydroxychloroquine","all","RCT",11090,NA
536,"hydroxychloroquine","all","RCT",11095,5
562,"hydroxychloroquine","all","RCT",11095,NA
563,"hydroxychloroquine","all","RCT",11095,NA
577,"hydroxychloroquine","all","RCT",11243,148
583,"hydroxychloroquine","all","RCT",11243,NA
598,"hydroxychloroquine","all","RCT",11744,501
618,"hydroxychloroquine","all","RCT",11854,110
625,"hydroxychloroquine","all","RCT",11854,NA
639,"hydroxychloroquine","all","RCT",11854,NA
682,"hydroxychloroquine","all","RCT",11854,NA
688,"hydroxychloroquine","all","RCT",11854,NA
730,"hydroxychloroquine","all","RCT",11854,NA
737,"hydroxychloroquine","all","RCT",11854,NA
758,"hydroxychloroquine","all","RCT",11854,NA
789,"hydroxychloroquine","all","RCT",11854,NA
793,"hydroxychloroquine","all","RCT",11854,NA
808,"hydroxychloroquine","all","RCT",11854,NA
159,"hydroxychloroquine","all","RWS",1004,1004
169,"hydroxychloroquine","all","RWS",2872,1868
177,"hydroxychloroquine","all","RWS",4692,1820
179,"hydroxychloroquine","all","RWS",4692,NA
186,"hydroxychloroquine","all","RWS",7204,2512
188,"hydroxychloroquine","all","RWS",7204,NA
194,"hydroxychloroquine","all","RWS",7204,NA
205,"hydroxychloroquine","all","RWS",11703,4499
215,"hydroxychloroquine","all","RWS",11966,263
220,"hydroxychloroquine","all","RWS",13577,1611
227,"hydroxychloroquine","all","RWS",13922,345
228,"hydroxychloroquine","all","RWS",13982,60
236,"hydroxychloroquine","all","RWS",14798,816
242,"hydroxychloroquine","all","RWS",14798,NA
249,"hydroxychloroquine","all","RWS",14798,NA
256,"hydroxychloroquine","all","RWS",14907,109
263,"hydroxychloroquine","all","RWS",14907,NA
269,"hydroxychloroquine","all","RWS",14907,NA
278,"hydroxychloroquine","all","RWS",27500,12593
290,"hydroxychloroquine","all","RWS",33041,5541
