"pandemicday","estimate","sevalue","class","severity","ymin","ymax"
656.5,-0.0313198568457538,0.0375318404351549,"convalescentplasma","all",0.900430529345711,1.04314746391078
663.5,-0.0313325256147049,0.0375268708116646,"convalescentplasma","all",0.900427892612631,1.04312408804023
670.5,-0.0312806388725058,0.0375273038248563,"convalescentplasma","all",0.900473849856912,1.04317909910689
678,-0.0316672944712074,0.0375016822066691,"convalescentplasma","all",0.900170947888437,1.04272346084757
685,-0.0318946516121118,0.0374750435571754,"convalescentplasma","all",0.90001330090457,1.04243198854816
695,-0.0316846103956211,0.0374795408209461,"convalescentplasma","all",0.900194425725569,1.04266015585767
705.5,-0.0332485924195044,0.0374311267034867,"convalescentplasma","all",0.898872929714509,1.04093194818867
719.5,-0.0333529831242998,0.0374223481053884,"convalescentplasma","all",0.898794565206611,1.04080538193462
733.5,-0.0371450123577132,0.0373796247855498,"convalescentplasma","all",0.895467745158038,1.03677927001964
744,-0.0396665521896198,0.0371890456377626,"convalescentplasma","all",0.893546340562552,1.03378205698595
754.5,-0.0398794705165493,0.037171235872923,"convalescentplasma","all",0.893387293473576,1.03352589120943
773.5,-0.0410028456847635,0.0371583877471176,"convalescentplasma","all",0.892406720470751,1.03233950874568
791,-0.0411311341092095,0.0371450914190864,"convalescentplasma","all",0.892315496517185,1.03218018023654
800.5,-0.0417137170179568,0.0370444615238457,"convalescentplasma","all",0.891971710487917,1.03137558182604
809,-0.0417296010853034,0.0370419814848388,"convalescentplasma","all",0.891961878167673,1.03135418621949
164,0.578077851,3.46091796428486,"cort","mildmod",0.00201865998997155,1574.15997693028
173,0.578077851,2.84673165347963,"cort","mildmod",0.00672773873322728,472.32716507696
178,0.578077851,2.61160554125767,"cort","mildmod",0.0106662683272833,297.919915919934
182.5,0.578077851,2.57759982146949,"cort","mildmod",0.01140141510714,278.710470005931
186.5,0.578077851,2.5433682320396,"cort","mildmod",0.0121926266390642,260.624216365539
187.5,0.578077888436359,2.52490626053341,"cort","mildmod",0.0126419025649784,251.362007010668
191,0.578077851,2.50788582788903,"cort","mildmod",0.0130707499739798,243.114876313112
199.5,0.57807788843636,2.46158332924051,"cort","mildmod",0.0143124507764293,222.023051873095
210,0.578077851,2.43593395134553,"cort","mildmod",0.0150503701465095,211.13724993539
217.5,0.292431885911634,0.164472163131936,"cort","mildmod",0.970510018082706,1.84928175959622
223.5,0.292437326017035,0.163286953452766,"cort","mildmod",0.972772436121821,1.84500088060389
227.5,0.292437888868814,0.162470168087668,"cort","mildmod",0.974331542467428,1.84205061975355
232,0.292436364147766,0.161748068080798,"cort","mildmod",0.97571001812693,1.83944257542846
239,0.292449766042148,0.160127793273692,"cort","mildmod",0.978826661543289,1.83363482648284
245.5,0.292448375721325,0.159419789777259,"cort","mildmod",0.980184546547967,1.83108953441305
252.5,0.284138827588286,0.157919778236149,"cort","mildmod",0.974935525605843,1.81060599467465
259.5,0.284130639932625,0.157390790054914,"cort","mildmod",0.975938888691475,1.80871489155672
266,0.284374521236916,0.156641321490948,"cort","mildmod",0.977611947986856,1.80650043311496
273.5,0.28437107974175,0.156208808599069,"cort","mildmod",0.978437678417103,1.80496345419398
280.5,0.284412643885151,0.155424996833475,"cort","mildmod",0.979982710413395,1.802267578108
286.5,0.284409179977843,0.155016040061075,"cort","mildmod",0.980765138336946,1.80081730196632
293.5,0.284429753521218,0.154833488019419,"cort","mildmod",0.981136306096673,1.80021011750965
300.5,0.284423132350148,0.154532197503162,"cort","mildmod",0.981709366962344,1.79913544189209
307.5,0.284403262056454,0.154409138768637,"cort","mildmod",0.981926667663277,1.7986658111591
314.5,0.291987819863016,0.153595379146741,"cort","mildmod",0.990981786962431,1.80947140826024
321.5,0.291982049824594,0.153328866259568,"cort","mildmod",0.99149385567185,1.80851601485081
328.5,0.291982023254481,0.152999855133605,"cort","mildmod",0.99213341202911,1.80735009987613
335.5,0.291992626595951,0.152780972307187,"cort","mildmod",0.992569663334659,1.80659405012523
342.5,0.282377322481946,0.149232224142189,"cort","mildmod",0.989933176281948,1.77690392487746
349.5,0.271481954219569,0.147923654791183,"cort","mildmod",0.981720721071033,1.75314675270197
356.5,0.271973960295033,0.147994108734981,"cort","mildmod",0.982068229571896,1.75425175120784
363.5,0.2719406260737,0.14787925429361,"cort","mildmod",0.982256589153311,1.75379842530939
370.5,0.271736800735506,0.14777005697506,"cort","mildmod",0.982266609602845,1.75306575007059
377.5,0.271334462661046,0.147539659090547,"cort","mildmod",0.982314979349234,1.75156941476215
384.5,0.271373561419953,0.147457462913296,"cort","mildmod",0.982511661704221,1.75135572626053
394.5,0.273094491662191,0.14781953651295,"cort","mildmod",0.983505744885988,1.75561773936659
404.5,0.273011498777033,0.147763205938919,"cort","mildmod",0.983532708104867,1.75527823430463
415,0.273005676487746,0.147694631763536,"cort","mildmod",0.983659181915002,1.75503211297921
423.5,0.27291793895881,0.147641539480778,"cort","mildmod",0.983675238654506,1.75469553290127
427,0.272913324414024,0.147624619678809,"cort","mildmod",0.983703321278787,1.7546292463944
433,0.272023621586201,0.147164360643589,"cort","mildmod",0.983715524077318,1.75148809823403
440.5,0.271971889661021,0.147125845333186,"cort","mildmod",0.983738895550224,1.75126528470523
447,0.272109736513236,0.147111422107941,"cort","mildmod",0.983902324261933,1.75145719419481
453.5,0.272080286112286,0.147089661854598,"cort","mildmod",0.983915311558829,1.7513309178121
464,0.271815756667531,0.146987927980557,"cort","mildmod",0.983851230206732,1.7505186150855
474.5,0.272640171908399,0.14709011728884,"cort","mildmod",0.984465467225546,1.75231330186894
485,0.272595405352907,0.14701291522969,"cort","mildmod",0.984570367098006,1.75196973742032
495.5,0.272595343890172,0.146999647087709,"cort","mildmod",0.984595911217042,1.75192406938357
506,0.272686320906371,0.146981012149022,"cort","mildmod",0.984721456672148,1.75201946869002
516.5,0.272681265039272,0.146929686671633,"cort","mildmod",0.984815543491651,1.75183437094892
523.5,0.27268127728627,0.146917255993518,"cort","mildmod",0.984839550018326,1.75179171100428
531.5,0.27251052966033,0.146842050091843,"cort","mildmod",0.984816560134443,1.75123446503008
549,0.272311621509551,0.146728167751118,"cort","mildmod",0.984840492685908,1.75049539424653
562.5,0.272301907322613,0.146715156197001,"cort","mildmod",0.984856041922528,1.75043374842804
566,0.272353791682423,0.146715508348054,"cort","mildmod",0.984906462074904,1.75052577915918
573,0.272045267608939,0.146546517606024,"cort","mildmod",0.98492881751969,1.74940624556706
580,0.271633550297819,0.146390523557313,"cort","mildmod",0.98482445115171,1.74815155683578
590.5,0.271668586570427,0.146388440949789,"cort","mildmod",0.984862976448676,1.74820567058918
601,0.271724659242408,0.146328994514103,"cort","mildmod",0.985032966339394,1.74810000813749
607.5,0.271511149145896,0.146232785133224,"cort","mildmod",0.985008400209221,1.74739727252943
614.5,0.271304609391028,0.146166750718255,"cort","mildmod",0.984932446872962,1.74681030295294
621.5,0.27135181809271,0.146163429993104,"cort","mildmod",0.984985356228384,1.7468813997195
632,0.271285675332862,0.146121192405599,"cort","mildmod",0.985001749389071,1.74662125878454
642.5,0.27117265561868,0.146059995715299,"cort","mildmod",0.985008571336635,1.74621440415954
649.5,0.271176222453747,0.146052181531785,"cort","mildmod",0.985027171069322,1.74619388806881
656.5,0.271004293040585,0.145995238297574,"cort","mildmod",0.984967755358364,1.74569884566539
663.5,0.270991126171496,0.145975302212703,"cort","mildmod",0.98499327409294,1.74560764995467
670.5,0.27105283470517,0.145979461392741,"cort","mildmod",0.985046028338066,1.74572960328405
678,0.270394453683189,0.145933660651806,"cort","mildmod",0.984486078981547,1.74442402329955
685,0.270231814032769,0.145799811481714,"cort","mildmod",0.984584241786875,1.74368282846805
695,0.270448009564869,0.145826188860224,"cort","mildmod",0.984746215150142,1.74415001529338
705.5,0.272772293928943,0.145451599072895,"cort","mildmod",0.987762652602142,1.74692557407434
719.5,0.272673263003257,0.145413813095138,"cort","mildmod",0.987737988072377,1.7466232223755
733.5,0.272659388807388,0.145396094783631,"cort","mildmod",0.987758586273581,1.74653833490557
744,0.272649772743218,0.145386679887787,"cort","mildmod",0.987767315264851,1.74648931155493
754.5,0.272458279140674,0.145304708179964,"cort","mildmod",0.98773686380115,1.74587437939323
773.5,0.272453984806448,0.145296742897544,"cort","mildmod",0.987748042694218,1.74583962586134
791,0.272329456310604,0.145239584683102,"cort","mildmod",0.987735697505638,1.74542668133505
800.5,0.272488311111219,0.14526367372057,"cort","mildmod",0.987845974758139,1.74578639727594
809,0.272472832049604,0.145253266700993,"cort","mildmod",0.987850833684882,1.74572376513516
164,0.459532329,2.31737188808606,"cort","moderate",0.0168649702977228,148.648020025597
173,0.459532329,1.91216195357941,"cort","moderate",0.0373170444845235,67.1796085991401
178,1.39595263557922,0.724930341306697,"cort","moderate",0.975396880992091,16.7235198783457
182.5,1.34482454018751,0.693146509140154,"cort","moderate",0.986351380955145,14.9302849649276
186.5,0.512953835912717,0.620435416299604,"cort","moderate",0.495048480881557,5.63505693840248
187.5,0.509081894227937,0.618611912986387,"cort","moderate",0.494901040181376,5.59325408369041
191,0.518802365577272,0.607842588708565,"cort","moderate",0.51039563031079,5.52992271277243
199.5,0.537311718233435,0.584980457676863,"cort","moderate",0.543758546602444,5.38637930027237
210,0.236397858463275,0.533816774574749,"cort","moderate",0.444910108895472,3.60628709175406
217.5,-0.17932177817482,0.0874143836627848,"cort","moderate",0.704227395396831,0.992042245717011
223.5,-0.183541786252595,0.0863612119940372,"cort","moderate",0.702710863139483,0.985827577121971
227.5,-0.183510415885038,0.0859265565146261,"cort","moderate",0.703331838418511,0.985018983786206
232,-0.183628706352569,0.0855518054400796,"cort","moderate",0.703765380281666,0.984179315148423
239,-0.178428513791184,0.084054474789174,"cort","moderate",0.709513833968758,0.986411426452366
245.5,-0.178512271072897,0.0836953984750736,"cort","moderate",0.709953891869761,0.985634887054127
252.5,-0.191798815742962,0.082853078715432,"cort","moderate",0.701741027281821,0.971021390618033
259.5,-0.192104297886759,0.0825522525199679,"cort","moderate",0.701940446341801,0.970152616805844
266,-0.190480572276769,0.0823255637340066,"cort","moderate",0.703393586249964,0.971297504943049
273.5,-0.190464121952417,0.0820900246204147,"cort","moderate",0.703729964044034,0.970865173383001
280.5,-0.178337940666202,0.0811945072569169,"cort","moderate",0.713566834659768,0.980986376922213
286.5,-0.176426097402596,0.0809354376274567,"cort","moderate",0.715295485552363,0.982364714728089
293.5,-0.176646082339213,0.0808919805264619,"cort","moderate",0.715199063769308,0.982064981208042
300.5,-0.180847601489329,0.080031635906086,"cort","moderate",0.713402424274355,0.976299773144138
307.5,-0.180912863902587,0.0799055093612086,"cort","moderate",0.713532236525996,0.975994755980168
314.5,-0.179958672621314,0.0795876083548587,"cort","moderate",0.714658562723303,0.976317966530673
321.5,-0.180010227345854,0.0794832647054238,"cort","moderate",0.714767884420375,0.97606799447708
328.5,-0.180010972736466,0.0793128635634674,"cort","moderate",0.715006113967736,0.97574132832322
335.5,-0.179325013268579,0.0791367087714723,"cort","moderate",0.715743824924468,0.976073816199999
342.5,-0.182594241784165,0.0785354678341547,"cort","moderate",0.714248913720961,0.971742210891918
349.5,-0.173674908191578,0.0779552797120494,"cort","moderate",0.721467998101782,0.979333970840821
356.5,-0.173602251258433,0.0780436781900369,"cort","moderate",0.721395419125838,0.979574836258646
363.5,-0.173253888995402,0.0779785442988091,"cort","moderate",0.721738902903371,0.979791052123104
370.5,-0.173043937526048,0.0778992845055049,"cort","moderate",0.722002602765937,0.979844552403668
377.5,-0.166729350429954,0.0774481611580488,"cort","moderate",0.727218900042081,0.985179959438409
384.5,-0.166790021277924,0.0774099016106799,"cort","moderate",0.727229312338565,0.985046319422767
394.5,-0.168238389135168,0.0777946796189924,"cort","moderate",0.725629328613901,0.984362734651889
404.5,-0.168047450378414,0.0777546036944693,"cort","moderate",0.725824903048789,0.984473373342412
415,-0.168044813960662,0.0777183026724625,"cort","moderate",0.725878461046476,0.984405925852452
423.5,-0.167780262096241,0.0776805950574023,"cort","moderate",0.726124182573004,0.984593615750538
427,-0.167776844357369,0.0776714102062586,"cort","moderate",0.726139736353786,0.984579255981364
433,-0.167653974630707,0.0776059980302454,"cort","moderate",0.726322076659815,0.984574000175133
440.5,-0.162898553579505,0.0770579901271952,"cort","moderate",0.730568548633492,0.988205217354303
447,-0.162911507531601,0.0770645758779723,"cort","moderate",0.730549654896748,0.988205172014882
453.5,-0.162469184167874,0.0770487613670166,"cort","moderate",0.730895520363123,0.988611731015441
464,-0.162135806324265,0.0769680218839818,"cort","moderate",0.731254936845706,0.988784880223563
474.5,-0.163227254826928,0.0771110068302383,"cort","moderate",0.730252562816939,0.987983105141526
485,-0.163175296424922,0.0770661486885433,"cort","moderate",0.7303547179527,0.987947574394988
495.5,-0.163175242231589,0.0770591882045316,"cort","moderate",0.730364721501346,0.987934149903508
506,-0.163267807404136,0.0770591516051672,"cort","moderate",0.730297170681463,0.987842634978139
516.5,-0.163264501877629,0.07703196390563,"cort","moderate",0.730338501863741,0.987793261501316
523.5,-0.163264511364015,0.0770254471814076,"cort","moderate",0.730347823447582,0.987780635345926
531.5,-0.163028625692025,0.076967732325468,"cort","moderate",0.730602764282211,0.987901907239211
549,-0.162783788064194,0.0768875802963725,"cort","moderate",0.730896478569345,0.987988589210248
562.5,-0.162775124545445,0.0768800411166218,"cort","moderate",0.730913611210951,0.987982549384187
566,-0.162842353993677,0.0768858276633748,"cort","moderate",0.730856184795286,0.987927334739595
573,-0.162438962436682,0.0767638529636112,"cort","moderate",0.731325882963933,0.988089685429329
580,-0.161395355692189,0.0766368070201466,"cort","moderate",0.732271818316158,0.988875130242634
590.5,-0.161442568820357,0.076639575931321,"cort","moderate",0.732233272400071,0.988833809908181
601,-0.16149810854243,0.0766129983851157,"cort","moderate",0.732230747860696,0.988727385759118
607.5,-0.161209652051737,0.0765391173406158,"cort","moderate",0.732548065334687,0.988869426297366
614.5,-0.148078857036675,0.0758896237975019,"cort","moderate",0.743175899754554,1.00066502663865
621.5,-0.148111462488777,0.0758909783238858,"cort","moderate",0.743149695593665,1.00063505658914
632,-0.148057184786057,0.0758609318600613,"cort","moderate",0.743233801690992,1.00063044030367
